name,type,address,evidence,description,X,Y
Initial fashion,時裝,,Initial老闆投左共，大陸大把分店話唔比放假。放假要記名提同事不要cold call 要追好條數以家好多前線好撚火滾,www.initialfashion.com,,
老虎堂 珍珠奶茶,食肆,,啊老虎堂老闆你係咪飲珍珠鮮奶飲到傻左 https://lihkg.com/thread/1215175/page/1(灣仔修頓分店 有支持反送中， 以供參考),,,
APS,汽槍牌子,,老闆當年佔旺藍絲之一， 2014年10月3日，伙同黑社會到旺角區非法毆打和平學生及市民。https://www.facebook.com/cannonhit2/posts/713132658818624,,,
幸福堂 (香港特許經營權分店),,,其中主要股東為親中藍絲，在其IG於2019年6月12日 / 7月1日 公開支持黑警暴力清場,,,
Lark Group ,售票,,集團命令唔比罷工,www.cityline.com,,
Lark Group ,戲院,,集團命令唔比罷工,,,
Lark Group ,餐飲/零售,,集團命令唔比罷工,,,
Lark Group ,食肆,九龍灣宏照道38號MegaBox 11樓12號舖,集團命令唔比罷工,http://www.lark.com.hk/en/madisons/index.html,,
Lark Group ,食肆,九龍灣宏照道38號MegaBox 11樓9號舖,集團命令唔比罷工,,,
Lark Group ,食肆,1. 西營盤高街48-78號恆陞大樓12號舖  2.香港銅鑼灣禮頓道64號地下 3.九龍灣牛頭角道77號淘大商場第三期UA戲院地下4.九龍亞皆老街102號The Argyle 地下G01號舖,集團命令唔比罷工,,,
伊滕家,零售,,老闆同大部份員工係藍絲,,,
深井陳記燒鵝,,將軍澳唐賢街19號天晉匯II期1樓127號舖，另外有八間分店， 包括深井陳記商業中心地下A舖、深井青山公路深井村63號地下、 中環德己立街18號業豐大廈2樓208室、旺角新填地街427-427A號、油塘高超道38號大本型3樓大食代308-312號舖、土瓜灣馬頭角道33欣榮花園商場地下13-14號舖、荃灣荃灣街市街27號地舖、旺角新填地街393號地舖,17/6 下午三時左右 員工和顧客批評學生被洗腦 逢中必反 不斷抹黑和中傷， 然而店員卻說對引渡條例的內容 一無所知，又稱自己「讀得書少」,,,
樓上集團樓上燕窩莊集團僑陽信聯集團中國元素集團,,www.hkjebn.com,老闆為藍絲，其臉書於2017年6月17日分享民建聯貼文。另HR部門禁止員工罷工及討論反送中活動,www.hkjebn.com,,
華記茶餐廳,,日本/上海,老細係超級藍絲楊官華,,,
吉野家(香港),,,(合興集團)老闆公開表示撐警， 參與暴力藍絲集會， 及與 反黑警廣告(公關)公司 解約,,,
超羣麵包西餅,,,(合興集團)老闆公開表示撐警， 參與暴力藍絲集會， 及與 反黑警廣告(公關)公司 解約,,,
香港養心殿台式養生鍋,,,老闆撐警，撐送中， 反遊行反示威， 發聲明扮中立https://lihkg.com/thread/1220224/page/1 AND https://lihkg.com/thread/1313627/page/1,,,
嘉. 日本燒肉,,,同屬香港養心殿飲食集團,,,
養心麵,,,同屬香港養心殿飲食集團,,,
（全線）大師傳粥品,大圍道59號金昌樓地下,,全部股東反佔中及撐警，其中大股東更是前警員藍絲，車牌仲特意用佢PC時既?巴,,,
麥當勞,全部,,中信收購中港麥當勞業務，中信是經鄧小平倡導和批准後，經中華人民共和國國務院批准設立的大型綜合性企業公司,,,
Crostini ,,,https://lihkg.com/thread/1353990/page/1,,,
燉奶佬餐廳,九龍旺角西洋菜南街228號地下,,老細鄭連校，香港新來港人士服務基金理事,,,
SAIZERIYA,食肆,元朗馬田路80號御庭居地下8號舖,13/6 晚飯聽到員工「PING」同其他人講遊行既人都有收錢，佔中果陣都係，佢只係唔得閒先唔去，在場員工都無幫口或者信佢講，另外重有兩個冬菇頭呀嬸同一個後生仔，在場朋友都聽到，想投訴可以SEND FAX去31049939,,22.4405289,114.0220276
金記燒臘餐廳,食肆,元朗水車館街66號地鋪,佔中期間同fd去買叉燒排隊中途問fd食左幾多粒催淚彈，辛唔辛苦等，排到問最少可以買幾多錢叉燒，個老闆娘答$50，我地照買左返屋企，比屋企人鬧話個量得$20，而且平時最少係可以買$20已經係我地個日買到既量黎。,,22.4448151,114.0308911
金記燒臘餐廳,食肆,元朗水車館街66號地鋪,佔中期間同fd去買叉燒排隊中途問fd食左幾多粒催淚彈，辛唔辛苦等，排到問最少可以買幾多錢叉燒，個老闆娘答$50，我地照買左返屋企，比屋企人鬧話個量得$20，而且平時最少係可以買$20已經係我地個日買到既量黎。,,22.4448151,114.0308911
