name,address,type,evidence,X,Y,description
九龍城 銀龍粉麵茶餐廳,九龍城福佬村道18號成龍居地下2B號舖,食肆,間野長期播無線新聞台既 個侍應阿姐同個食客講話個示威者係暴徒 係度搞事 有D食客係依家先睇到新聞 唔知咩事就信哂佢地 聽到我火滾,0,0,
尖沙咀 新聯威茶餐廳,尖沙咀山林道18號,食肆,,0,0,
尖沙咀 紅磡冰室,尖沙咀金馬倫道38號,食肆,Rose Ma FB / IG,0,0,
善茗,尖沙咀加連威老道,中式茶館,,0,0,
旺角 紅茶,旺角彌敦道594-596號地舖,食肆,12/6去食早餐親耳聽到個待應同其他伙記話我地班學生收左人錢今日又開工啦，搞亂香港，俾狗打抵死啦,0,0,
旺角 通達食店,旺角花園街172號地下,食肆,https://lihkg.com/thread/1215706/page/1,0,0,
了不起,旺角彌敦道,食肆,,0,0,
旺角 Japan Pop,旺角信和地庫B49,書籍雜誌,老闆娘/職員藍絲， 見到後生就專登響度講收錢搞亂香港云云,0,0,
油麻地 Lei Sure,油麻地眾坊街59號C舖,食肆,奶共cafe,0,0,
牛池灣 英輝咖啡屋,牛池灣金池俓29號地下,食肆,聽到店內待應高談闊論談打示威者，更聲稱自己是警察就打死示威者及斬示威者頭落黎,0,0,
石硤尾 木蘭館,石硤尾偉智里1-3號白田購物中心地下5號舖,食肆,,0,0,
奧海城,大角咀海庭道18號,商場,https://lihkg.com/thread/838946/page/2,0,0,#33樓
紅磡 景霖廚房 (前稱麥記),紅磡寶其利街73號A舖,食肆,69之前曾經親耳聽到樓面同收銀一日最衰都係佔中(2019年喇dllm仲佔中),0,0,
紅磡糖妃,土瓜灣美景街26號,食肆,http://lih.kg/imCOOeX,0,0,
山崎麵包(全線),,食肆,佢地話學生係收錢去612去遊行係暴徒阻住地球轉，呢D少數人唔代表佢地。另一個男人話如果佢前兩日要去稅局，D學生阻住佢的話，就會大巴大巴咁摑落佢地度摑醒佢地。仲話班大學生無腦抵佢地612比警察打。佢地話今次佔中影響佢地生意，佢地鋪頭賺少左，又搞到少左大陸人幫襯。,0,0,
